student_id,name,department,section,semester,hostel_block,year_of_study
STU0001,Student_1,CSE,A,5,H2,2
STU0002,Student_2,ECE,C,1,H1,4
STU0003,Student_3,CSE,A,1,H2,2
STU0004,Student_4,EE,C,1,H2,4
STU0005,Student_5,ECE,B,5,H1,2
STU0006,Student_6,CE,B,5,H2,2
STU0007,Student_7,ME,A,1,Day Scholar,1
STU0008,Student_8,ME,B,5,H1,4
STU0009,Student_9,EE,A,7,H1,3
STU0010,Student_10,EE,B,3,H1,1
STU0011,Student_11,ECE,B,1,H2,1
STU0012,Student_12,CE,B,7,H3,2
STU0013,Student_13,ME,B,3,H3,1
STU0014,Student_14,EE,C,3,H2,2
STU0015,Student_15,CE,B,5,H2,3
STU0016,Student_16,CSE,A,1,H3,4
STU0017,Student_17,ME,A,3,H3,2
STU0018,Student_18,CE,B,7,H2,3
STU0019,Student_19,ECE,A,5,Day Scholar,4
STU0020,Student_20,ME,A,3,Day Scholar,1
STU0021,Student_21,CSE,A,3,H2,4
STU0022,Student_22,EE,A,7,Day Scholar,4
STU0023,Student_23,EE,B,1,H1,3
STU0024,Student_24,ME,A,5,Day Scholar,2
STU0025,Student_25,CE,A,5,H2,1
STU0026,Student_26,ME,C,3,H2,3
STU0027,Student_27,ECE,C,1,H3,4
STU0028,Student_28,CSE,A,5,H3,2
STU0029,Student_29,CSE,A,1,H1,4
STU0030,Student_30,CSE,C,3,H2,4
STU0031,Student_31,EE,A,5,Day Scholar,2
STU0032,Student_32,EE,C,3,H3,4
STU0033,Student_33,ME,B,7,H1,2
STU0034,Student_34,ECE,A,5,H1,2
STU0035,Student_35,EE,A,1,H1,1
STU0036,Student_36,ECE,A,1,H3,1
STU0037,Student_37,EE,A,5,Day Scholar,2
STU0038,Student_38,EE,A,7,H2,4
STU0039,Student_39,CE,A,1,H1,4
STU0040,Student_40,ME,B,7,Day Scholar,1
STU0041,Student_41,CSE,A,7,H3,1
STU0042,Student_42,ECE,A,3,Day Scholar,2
STU0043,Student_43,CE,A,5,Day Scholar,2
STU0044,Student_44,CSE,B,1,H1,1
